"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",2,2,1,1,1,5,4,2,3,3,1,6,0,1,2,7,2,11,2,4,7,1,9,0,1,7,9,1,4,3,0,6,2,4,3,2,0,11,5,0,1,4,1,0,1,8,2,4,2,4,1,1,2,1,0,1,4,6,0,4,4,1,4,4,10,3,2,3,2,3,5,0,0,1,4,5,0,6,1,2,0,21,6,2,1,5,27,4,15,0,11,2,0,3,14,5,6,0,2,0
"signal2",2,2,1,0,2,7,3,2,9,0,3,5,3,1,2,5,2,7,9,5,1,1,6,0,5,1,11,1,4,3,0,4,2,4,9,7,6,11,5,0,3,6,6,2,0,4,1,1,3,8,1,1,3,7,2,2,3,12,2,7,5,4,6,6,4,0,4,4,0,9,1,10,2,7,1,15,3,14,5,2,8,4,2,1,8,3,1,1,6,1,2,19,3,2,6,1,6,3,0,0
"signal3",1,10,0,0,6,0,3,4,6,0,5,2,1,2,2,10,0,5,17,3,15,3,21,9,15,2,5,1,2,1,17,1,1,13,1,2,6,2,1,3,2,2,1,0,4,4,2,2,0,2,0,4,2,8,2,1,0,5,1,5,10,1,8,2,3,2,3,2,1,6,1,3,2,1,4,3,1,4,6,4,7,7,3,1,16,15,2,4,6,8,2,15,2,5,1,0,8,1,6,13
"signal4",0,6,0,2,4,4,10,3,15,13,0,10,2,0,0,1,0,3,1,3,3,1,8,4,14,8,11,0,1,0,2,8,0,0,5,7,6,3,2,1,0,6,3,0,3,4,5,9,2,0,0,0,11,1,4,17,0,4,1,7,2,2,11,7,7,0,3,3,2,3,10,0,5,17,21,2,1,4,2,7,3,17,0,1,6,14,3,3,3,1,0,4,0,0,2,6,5,0,2,1
"signal5",0,3,3,2,1,2,4,2,15,7,4,2,4,0,5,1,0,7,20,9,0,3,14,8,3,8,4,0,17,3,0,3,2,2,1,7,10,1,4,0,4,15,1,0,1,9,1,1,1,7,2,0,6,5,9,7,2,2,3,7,7,1,0,0,2,0,0,1,4,1,5,4,0,12,2,9,14,13,5,4,2,17,8,0,6,3,13,2,4,2,14,3,1,10,5,17,3,1,3,3
"signal6",2,21,3,1,3,0,7,0,7,3,0,4,2,4,6,6,2,8,8,1,3,2,3,4,3,2,0,1,4,3,0,6,2,7,2,5,15,9,5,1,5,3,3,6,3,12,3,0,4,2,0,23,7,7,1,4,1,12,2,8,2,1,6,4,8,6,1,3,4,8,0,2,0,7,0,10,3,7,6,25,10,1,2,2,3,5,15,5,5,19,7,8,1,14,4,5,6,12,4,2
"signal7",4,5,1,1,1,1,6,4,9,1,1,2,0,4,0,2,1,2,4,1,1,0,4,6,3,3,5,2,14,2,4,5,1,10,5,1,10,7,9,1,2,8,5,0,0,2,0,13,3,0,5,14,8,5,10,1,0,1,8,2,8,1,12,21,9,2,2,1,5,4,2,10,3,2,4,16,2,7,5,13,1,14,7,0,1,6,2,1,3,3,3,8,2,14,1,7,4,6,1,2
"signal8",3,8,2,2,4,4,13,0,11,11,2,2,0,0,1,3,0,6,9,2,16,1,11,3,4,4,8,1,3,4,9,2,4,2,3,3,9,7,4,2,2,8,1,2,1,17,7,5,0,5,2,2,1,4,4,2,2,4,0,13,5,4,4,21,1,1,2,16,3,8,0,1,0,13,5,14,1,9,1,6,3,25,11,2,3,5,1,2,10,2,4,5,2,8,12,10,0,1,2,3
"signal9",0,1,4,4,0,3,4,0,10,10,2,8,0,0,3,8,5,5,4,3,7,5,10,11,1,0,9,6,2,3,0,11,4,9,4,5,5,2,7,0,1,3,2,2,2,16,0,4,1,2,0,19,7,10,8,2,2,5,0,3,10,2,3,2,6,10,1,4,4,4,16,3,2,7,15,16,3,0,5,0,3,3,6,4,0,4,0,3,17,14,9,5,1,7,3,3,0,2,1,2
"signal10",0,2,2,2,0,8,5,3,13,5,2,0,1,0,7,7,1,3,1,2,7,4,13,10,13,5,9,3,5,1,6,0,1,3,3,1,28,5,10,3,1,3,1,3,0,14,0,0,1,21,1,5,4,4,4,8,2,3,0,2,2,6,12,7,5,1,0,1,1,5,5,7,1,3,0,6,3,3,10,24,6,4,12,2,9,2,1,0,3,16,4,17,0,9,6,4,5,1,2,1
