"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,1,1,1,1,4,6,3,3,1,6,1,4,2,2,6,11,2,4,7,5,9,0,1,2,9,4,4,3,0,6,6,4,3,2,0,11,2,0,1,4,1,0,1,8,2,4,3,4,1,1,1,1,0,1,10,6,0,1,4,4,4,4,10,7,2,0,2,3,5,0,0,1,4,5,0,3,1,2,0,21,2,2,1,5,11,2,6,3,8,17,6,1,2,5,6,0,6,0
"signal2",4,2,1,0,2,2,2,4,12,12,8,8,6,2,3,6,0,4,3,3,2,0,2,10,15,4,1,2,10,0,0,8,1,6,11,4,3,5,1,3,3,13,2,0,1,3,0,8,8,4,0,3,3,2,2,9,12,6,4,1,10,6,6,4,1,12,1,2,0,6,4,2,0,15,3,14,1,0,8,4,0,3,3,1,1,5,3,0,2,19,8,2,6,1,1,9,26,1,3,1
"signal3",5,6,1,3,5,0,18,12,10,1,2,0,11,2,1,2,7,10,1,5,17,3,15,8,21,3,11,2,10,3,1,6,2,17,1,5,13,1,0,2,1,1,3,2,1,6,0,11,4,6,0,1,1,1,4,2,8,2,0,0,5,4,5,10,3,8,1,1,2,9,2,6,3,1,3,5,0,2,3,1,1,6,2,2,7,3,1,2,2,5,10,6,2,9,2,8,2,5,5,2
"signal4",1,15,1,1,1,3,5,10,10,4,0,3,0,13,0,5,5,0,0,1,2,3,1,3,3,1,8,4,14,3,4,2,1,3,2,8,1,0,2,2,1,3,1,1,0,6,3,1,8,4,5,9,2,0,0,0,11,1,1,6,0,4,5,7,2,4,4,2,2,2,11,5,4,3,2,2,5,7,0,7,1,5,3,1,2,7,1,8,0,6,0,8,7,0,0,8,0,1,1,0
"signal5",2,6,2,0,2,1,0,3,9,4,3,2,4,6,7,3,10,2,12,5,14,12,2,0,8,1,9,11,3,4,2,8,4,1,17,8,0,3,2,0,0,7,4,0,2,1,4,15,6,0,1,9,1,1,5,7,9,10,4,0,9,6,3,7,5,0,0,0,0,0,1,10,0,5,4,1,6,1,9,14,6,5,1,1,17,8,0,2,3,13,5,4,2,14,1,4,10,2,17,1
"signal6",4,8,3,2,1,3,16,0,3,4,0,4,4,2,0,3,3,1,4,8,5,8,6,8,4,1,4,3,12,0,1,6,15,4,2,0,4,4,3,0,1,6,2,1,2,15,3,7,0,16,1,14,1,7,3,5,4,5,1,0,23,7,7,1,4,4,5,2,4,2,5,6,1,8,18,3,1,4,8,0,1,1,2,0,10,3,3,3,25,10,1,2,5,3,2,15,12,1,19,3
"signal7",8,4,6,0,1,2,27,3,7,23,0,2,3,1,2,4,9,1,5,2,1,8,2,2,3,0,4,1,1,0,2,6,3,3,5,8,14,8,1,3,1,10,2,0,4,7,3,3,6,8,5,2,0,2,3,13,11,1,5,5,10,8,7,0,4,2,4,1,2,8,4,12,9,2,5,1,1,4,17,4,3,10,3,0,4,16,0,2,5,13,1,14,7,2,0,6,2,1,3,0
"signal8",3,8,2,4,0,5,10,10,5,23,0,5,16,11,0,3,5,4,16,15,2,10,13,10,15,0,4,5,7,1,3,5,3,10,9,2,12,4,1,2,3,4,7,0,1,6,4,19,7,12,0,5,2,11,11,8,13,0,2,4,4,3,7,0,13,5,4,1,7,5,3,14,0,0,0,5,3,5,4,1,0,7,2,1,11,4,0,6,0,14,7,4,3,5,0,7,10,0,4,2
"signal9",7,8,5,4,0,1,5,9,1,1,4,12,2,1,4,3,0,8,2,2,8,8,16,11,15,0,4,8,0,0,1,15,9,19,4,12,9,4,1,2,0,7,0,1,1,8,2,11,1,3,0,2,0,6,2,2,19,7,3,2,8,20,9,1,8,3,1,5,1,4,7,4,6,1,6,7,6,2,4,5,0,4,4,0,7,13,5,0,9,17,14,9,5,4,2,3,3,0,6,1
"signal10",6,1,1,2,2,0,8,5,6,13,1,4,0,3,0,7,7,3,3,1,2,7,10,13,10,6,5,9,9,2,1,6,0,3,3,3,1,28,3,5,3,3,0,1,3,0,5,0,4,12,0,10,2,3,1,2,2,18,0,0,8,5,2,1,2,5,2,2,1,3,0,6,0,3,10,24,2,1,12,6,3,9,4,1,8,1,9,0,9,5,11,5,3,1,0,4,1,1,4,2
