"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,1,1,1,1,1,6,1,1,1,6,0,1,2,2,2,4,2,4,7,1,3,0,0,2,3,1,2,3,0,6,2,4,1,0,0,5,2,0,1,1,1,0,1,2,2,1,2,4,1,1,1,1,0,1,4,6,0,1,4,1,1,4,3,0,7,0,2,1,1,0,0,1,1,5,0,3,1,2,0,21,2,2,0,2,11,2,6,3,8,17,2,1,2,5,3,0,2,0
"signal2",4,2,1,0,2,2,1,4,4,3,8,8,3,0,3,6,0,0,3,3,2,0,1,10,5,1,0,0,3,0,0,8,0,6,5,1,3,1,1,3,3,6,2,0,1,1,0,3,4,4,0,3,3,2,2,9,5,6,4,1,10,2,3,4,0,4,1,0,3,0,4,2,2,1,7,0,6,1,2,8,1,2,1,3,1,0,1,3,1,2,19,8,1,6,0,6,3,0,0,1
"signal3",10,2,0,6,0,1,4,6,0,5,1,3,2,2,4,0,1,1,8,1,3,2,1,11,10,4,3,0,7,1,2,2,3,5,1,1,2,8,8,0,3,2,1,1,0,4,1,2,0,1,1,1,1,2,8,2,0,1,1,1,5,3,1,2,4,2,0,0,3,2,3,1,1,6,0,3,2,0,4,3,0,4,3,2,2,3,0,1,16,15,2,9,2,8,1,15,2,1,0,0
"signal4",8,1,6,13,0,2,0,4,4,2,3,0,5,1,3,0,3,0,0,10,7,2,0,2,0,0,0,2,0,0,0,4,2,6,1,1,1,3,2,3,5,0,0,1,2,0,0,2,2,6,1,2,1,0,6,10,0,8,1,5,9,2,0,0,0,3,0,3,7,2,0,2,1,7,0,4,4,2,5,2,3,3,2,0,3,3,6,1,3,2,6,6,2,3,3,2,2,1,8,0
"signal5",6,0,4,3,0,0,3,0,1,0,0,2,2,2,0,2,1,0,3,9,4,3,0,4,2,7,3,4,1,4,0,14,4,0,3,7,4,2,4,5,1,4,2,2,0,1,4,3,0,3,2,2,0,7,10,1,2,1,4,6,4,2,4,2,3,1,1,1,2,0,0,0,0,1,4,1,1,1,1,12,1,9,6,6,2,1,1,7,2,6,11,3,0,7,0,1,2,6,0,5
"signal6",4,10,2,5,1,0,1,8,2,1,3,16,0,0,1,0,1,1,2,2,7,1,0,4,2,4,6,1,2,4,3,1,1,5,1,2,3,1,0,1,2,3,0,1,2,2,1,2,6,11,0,0,5,3,7,17,3,3,2,1,3,0,0,0,3,4,4,2,1,3,1,1,5,4,4,2,1,1,4,8,6,3,1,4,3,0,1,0,7,0,10,3,3,6,9,8,0,1,2,0
"signal7",5,15,5,1,8,1,3,4,6,0,1,6,12,4,2,4,1,1,5,3,1,2,4,9,0,1,1,0,4,0,1,3,0,4,0,0,1,2,3,0,1,2,2,5,1,0,2,1,0,2,3,1,0,5,1,10,3,9,1,2,8,5,0,2,0,0,4,5,1,3,4,5,4,5,4,1,0,0,20,8,3,4,4,3,1,9,0,1,1,4,9,17,1,8,3,3,0,2,6,0
"signal8",3,5,5,0,1,2,0,1,1,0,1,3,0,0,2,2,4,0,14,2,5,1,2,7,2,2,2,4,1,5,0,11,4,4,2,2,3,0,2,3,0,1,2,5,1,3,1,2,1,3,4,9,1,12,4,4,2,9,3,1,6,2,2,3,2,1,6,2,4,1,3,6,0,7,4,4,1,1,2,19,4,5,2,7,2,1,5,0,22,1,1,7,2,3,3,0,1,4,6,1
"signal9",7,3,3,1,1,1,10,9,1,1,1,5,3,2,1,0,3,2,7,8,12,4,0,4,2,3,0,0,4,4,0,3,1,1,4,3,0,3,0,0,3,3,5,1,1,1,2,5,3,11,0,0,2,8,19,9,8,13,6,4,1,1,2,2,2,0,1,1,2,2,2,5,1,18,0,6,0,0,19,7,3,8,1,2,1,0,2,3,7,8,6,1,3,3,1,10,1,1,4,2
"signal10",16,3,2,2,6,2,1,5,0,0,4,1,2,4,0,0,3,6,5,9,8,1,1,0,1,0,2,1,2,0,1,5,2,2,4,2,6,6,1,2,0,1,0,7,2,1,3,1,3,10,6,10,6,5,9,9,2,4,2,0,3,1,0,1,10,2,7,4,1,0,1,3,0,14,0,0,1,7,0,5,1,4,1,4,2,0,0,1,2,18,0,2,4,5,0,1,1,1,2,2
"signal11",3,3,0,3,0,1,4,24,2,1,5,10,1,3,0,9,0,3,5,11,5,1,0,1,1,0,1,1,2,1,0,5,0,3,0,3,6,1,3,5,2,2,3,0,3,5,1,0,3,6,2,13,0,16,2,5,2,2,1,1,4,2,0,11,0,6,1,4,2,4,2,2,0,1,1,17,0,4,2,1,0,4,3,0,1,2,1,1,11,0,5,2,4,2,3,9,0,3,5,7
"signal12",3,6,1,2,3,0,4,4,2,5,6,5,1,0,1,2,1,0,9,6,7,1,1,9,0,1,7,4,1,0,2,8,0,3,0,2,1,2,9,3,0,0,6,4,0,3,6,1,7,6,1,5,0,1,8,0,0,1,0,0,9,0,4,3,0,5,1,0,2,1,2,1,1,1,0,5,1,0,2,22,1,9,0,2,2,3,3,0,7,4,3,0,4,1,0,4,0,2,0,3
"signal13",4,2,3,0,5,3,0,17,0,2,0,14,3,3,2,0,2,4,6,9,7,2,3,2,2,2,3,0,0,2,1,6,2,5,7,2,8,9,0,6,1,0,1,1,1,2,2,0,6,7,2,2,3,5,7,13,1,4,2,3,9,1,0,5,3,3,0,1,3,2,11,5,1,7,0,7,10,3,9,16,2,4,2,3,0,2,5,2,6,7,8,12,4,8,2,11,1,4,8,3
"signal14",9,6,0,7,0,2,1,10,0,1,1,2,1,1,6,1,1,3,13,1,6,7,2,2,4,5,2,0,0,3,7,7,2,9,4,2,2,1,5,2,4,1,1,2,0,5,3,3,1,5,4,21,1,6,4,0,1,3,4,3,6,0,11,7,0,0,0,2,1,1,2,1,5,3,0,7,1,1,10,7,3,13,3,3,2,4,5,1,11,9,3,6,3,10,0,7,4,1,7,5
"signal15",4,13,8,0,0,0,5,1,6,3,0,2,6,0,0,1,3,2,18,5,2,1,1,4,1,7,0,4,0,1,3,2,1,3,4,4,13,3,4,1,1,4,6,0,1,3,0,1,0,0,4,9,2,6,7,12,0,5,1,1,10,2,7,2,2,2,1,3,4,5,0,1,6,7,4,4,1,0,0,8,0,8,4,0,0,2,1,1,15,7,0,13,1,9,2,8,4,0,1,1
