,x,y,group,foldchange
Loc1,0.426907666,0.368979809,A,3
Loc2,0.693102081,0.40759356,A,3
Loc3,0.085135969,0.914336755,Normal,1
Loc4,0.225436616,0.888705248,Normal,1
Loc5,0.274530523,0.983732176,Normal,1
Loc6,0.272305066,0.477195279,Normal,1
Loc7,0.615829308,0.693508233,Normal,1
Loc8,0.429671525,0.425746462,A,3
Loc9,0.651655667,0.784166533,Normal,1
Loc10,0.567737753,0.842695987,Normal,1
Loc11,0.113508982,0.183472147,Normal,1
Loc12,0.595925305,0.528539601,A,3
Loc13,0.358049975,0.70294755,Normal,1
Loc14,0.428809418,0.91327276,Normal,1
Loc15,0.051903322,0.259173918,Normal,1
Loc16,0.264177667,0.79262477,Normal,1
Loc17,0.398790731,0.614469551,Normal,1
Loc18,0.836134143,0.700620528,Normal,1
Loc19,0.864721226,0.107933234,A,3
Loc20,0.615352417,0.333865793,A,3
Loc21,0.775109896,0.324131608,A,3
Loc22,0.355568691,0.565425756,Normal,1
Loc23,0.405849972,0.203178191,Normal,1
Loc24,0.706646914,0.219704507,A,3
Loc25,0.838287665,0.633115279,Normal,1
Loc26,0.239589131,0.35252051,Normal,1
Loc27,0.770771533,0.856873234,Normal,1
Loc28,0.355897744,0.950721567,Normal,1
Loc29,0.535597038,0.888031511,Normal,1
Loc30,0.09308813,0.046858777,Normal,1
Loc31,0.169803041,0.769040514,Normal,1
Loc32,0.899832451,0.230225423,A,3
Loc33,0.422637607,0.315184118,Normal,1
Loc34,0.747746468,0.282669586,A,3
Loc35,0.82265258,0.713195651,Normal,1
Loc36,0.954653646,0.862137917,Normal,1
Loc37,0.685444509,0.106323521,A,3
Loc38,0.50050323,0.550327756,Normal,1
Loc39,0.275483862,0.648369514,Normal,1
Loc40,0.228903945,0.234786699,Normal,1
Loc41,0.014433906,0.076297215,Normal,1
Loc42,0.728964563,0.923095043,Normal,1
Loc43,0.249880472,0.147216693,Normal,1
Loc44,0.161183277,0.822390375,Normal,1
Loc45,0.01704265,0.413518392,Normal,1
Loc46,0.486100345,0.61252061,Normal,1
Loc47,0.102900172,0.068120502,Normal,1
Loc48,0.801547005,0.904132198,Normal,1
Loc49,0.354328065,0.879543199,Normal,1
Loc50,0.936432539,0.197116873,A,3
Loc51,0.245866392,0.069459711,Normal,1
Loc52,0.473141461,0.157339573,A,3
Loc53,0.191560871,0.33345678,Normal,1
Loc54,0.58322197,0.180061774,A,3
Loc55,0.45947319,0.146482687,A,3
Loc56,0.467434048,0.290575438,A,3
Loc57,0.399832556,0.936068888,Normal,1
Loc58,0.505285596,0.102460469,A,3
Loc59,0.031888156,0.723351882,Normal,1
Loc60,0.114467588,0.516401494,Normal,1
Loc61,0.468935476,0.411899478,A,3
Loc62,0.396986738,0.41326528,Normal,1
Loc63,0.833619194,0.762044408,Normal,1
Loc64,0.761121743,0.259176547,A,3
Loc65,0.573356449,0.76318978,Normal,1
Loc66,0.447508046,0.982404814,Normal,1
Loc67,0.083802008,0.670119031,Normal,1
Loc68,0.219138547,0.589927892,Normal,1
Loc69,0.075570292,0.56309884,Normal,1
Loc70,0.534426784,0.761796804,Normal,1
Loc71,0.641356577,0.745297401,Normal,1
Loc72,0.525739318,0.707827262,Normal,1
Loc73,0.039281388,0.986808244,Normal,1
Loc74,0.54585984,0.451630907,A,3
Loc75,0.372763097,0.118217408,Normal,1
Loc76,0.961302415,0.238635319,A,3
Loc77,0.257341569,0.470522762,Normal,1
Loc78,0.207951683,0.352323071,Normal,1
Loc79,0.86138244,0.338575245,A,3
Loc80,0.464391983,0.127301266,A,3
Loc81,0.222867433,0.424073856,Normal,1
Loc82,0.623549602,0.47331084,A,3
Loc83,0.203647701,0.527722007,Normal,1
Loc84,0.019673414,0.626953609,Normal,1
Loc85,0.797993006,0.876026092,Normal,1
Loc86,0.274318897,0.679157037,Normal,1
Loc87,0.166609104,0.724064011,Normal,1
Loc88,0.170151718,0.181847723,Normal,1
Loc89,0.488505937,0.077855519,A,3
Loc90,0.711409077,0.072197404,A,3
Loc91,0.591934921,0.054062594,A,3
Loc92,0.517156877,0.517273405,A,3
Loc93,0.381627686,0.814051569,Normal,1
Loc94,0.83477833,0.449048402,A,3
Loc95,0.249008051,0.558894888,Normal,1
Loc96,0.540601028,0.279880107,A,3
Loc97,0.743839404,0.890094037,Normal,1
Loc98,0.030011855,0.715849278,Normal,1
Loc99,0.344343505,0.223088392,Normal,1
Loc100,0.061322553,0.535894999,Normal,1
