"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,4,3,4,1,4,6,3,3,1,6,1,4,2,7,2,11,2,4,7,1,3,0,1,2,9,4,4,3,0,6,2,4,3,2,0,11,5,0,1,4,1,3,1,8,2,4,3,4,1,1,1,1,0,1,10,6,2,1,4,1,4,4,10,7,7,0,2,3,5,0,0,1,1,5,0,3,1,2,0,21,2,2,1,5,27,4,15,0,11,2,2,3,6,5,6,0,2,0
"signal2",4,2,4,1,9,0,2,18,6,21,2,2,2,6,6,0,0,3,3,2,0,1,2,5,3,0,2,10,0,0,8,1,2,11,4,3,5,5,7,3,6,10,0,4,1,1,2,6,8,12,0,3,1,2,6,7,7,4,5,6,1,4,4,0,9,1,10,2,2,1,15,3,14,5,0,8,1,0,3,8,1,1,1,3,1,2,19,3,2,6,1,6,9,1,0,2,10,2,0,6
"signal3",0,3,9,6,0,5,2,3,9,7,2,4,13,8,7,1,2,1,8,1,3,2,1,11,23,5,9,1,21,3,11,2,3,5,6,8,10,17,1,1,3,14,1,3,2,2,0,7,6,2,1,1,4,4,6,2,1,2,1,1,2,3,2,1,1,5,4,1,3,5,2,8,6,1,0,8,2,3,2,6,3,1,1,2,1,4,3,0,4,6,4,7,7,3,1,16,15,2,4,2
"signal4",8,2,15,6,5,0,0,8,1,15,1,3,6,6,0,4,4,4,10,10,4,0,1,0,13,0,10,5,0,0,1,2,2,1,3,3,4,8,4,4,3,2,0,2,2,1,0,5,7,6,1,2,1,0,6,10,1,8,4,5,9,2,0,0,0,11,1,1,6,0,4,5,7,2,2,11,2,3,2,11,2,11,1,0,2,14,0,0,6,6,6,3,11,17,0,17,0,6,0,4
"signal5",7,0,3,8,0,1,1,0,2,6,2,4,6,5,0,3,3,5,2,2,4,2,7,7,10,1,12,5,14,4,0,7,7,4,6,9,11,3,9,2,2,0,1,8,3,0,1,5,2,1,3,10,0,4,1,11,15,6,0,1,9,1,1,5,7,9,10,4,0,9,6,3,7,5,0,0,0,0,0,1,4,1,1,1,1,12,2,3,14,13,5,4,2,17,3,1,6,3,4,2
"signal6",2,1,7,14,3,1,10,5,17,3,1,8,8,6,1,6,7,2,0,4,1,1,1,2,2,3,3,1,4,2,15,15,2,8,8,1,3,5,3,2,1,2,0,4,2,8,0,6,6,7,1,5,6,11,2,0,16,4,14,1,7,1,5,4,5,2,0,1,3,10,10,5,5,7,0,12,2,4,2,5,1,4,2,6,3,3,11,1,3,0,11,6,0,7,0,17,2,4,2,0
"signal7",10,2,14,3,5,6,4,5,19,7,3,4,14,4,1,6,12,9,7,10,5,1,1,3,1,2,12,0,3,0,6,3,2,6,2,2,10,0,0,0,2,6,0,3,2,8,5,4,1,6,1,0,0,8,1,1,5,1,10,3,9,1,6,8,12,2,2,0,0,13,11,1,13,14,4,5,4,0,2,1,8,2,3,1,12,21,9,2,7,1,13,10,8,10,3,2,4,16,0,2
"signal8",5,13,1,14,7,0,1,6,2,3,1,3,3,8,2,14,0,7,4,14,7,4,4,6,10,2,11,9,13,0,11,11,2,2,3,0,2,3,1,2,3,2,1,3,5,3,3,4,5,5,0,10,3,9,4,5,0,7,0,1,1,0,18,1,4,6,7,2,1,6,4,17,18,8,0,5,2,0,1,4,1,2,2,1,0,13,5,4,4,21,1,2,5,16,3,8,0,1,0,4
"signal9",18,15,7,3,9,0,6,3,25,11,2,3,5,1,2,10,0,4,5,7,8,5,4,0,4,2,9,1,1,4,12,2,0,10,10,10,4,6,8,3,0,3,1,3,2,14,4,1,9,1,1,15,5,19,4,12,9,4,5,2,2,2,1,5,3,8,4,2,5,3,18,2,6,2,0,19,2,3,8,2,2,5,0,2,10,6,3,1,6,22,0,6,17,4,6,1,6,7,6,2
"signal10",4,5,3,4,11,0,7,13,13,11,2,2,8,3,1,0,1,0,6,2,6,0,1,5,8,3,5,10,0,2,3,16,1,10,13,16,12,12,3,1,0,9,2,2,0,0,1,8,9,3,3,10,2,3,5,3,1,5,6,6,1,9,8,3,2,0,16,0,5,8,4,3,5,10,3,3,0,1,8,0,5,0,1,4,4,8,7,0,1,2,2,18,0,2,4,5,2,1,1,1
