"","x","y","group","foldchange"
"Loc1",0.908207789994776,0.455274453619495,"A",1
"Loc2",0.201681931037456,0.410084082046524,"B",3
"Loc3",0.898389684967697,0.810870242770761,"A",1
"Loc4",0.944675268605351,0.604933290276676,"A",1
"Loc5",0.660797792486846,0.654723928077146,"A",1
"Loc6",0.62911404389888,0.353197271935642,"C",5
"Loc7",0.0617862704675645,0.270260145887733,"A",1
"Loc8",0.205974574899301,0.99268406117335,"B",3
"Loc9",0.176556752528995,0.633493264438584,"B",3
"Loc10",0.687022846657783,0.213208135217428,"C",5
"Loc11",0.384103718213737,0.129372348077595,"A",1
"Loc12",0.769841419998556,0.478118034312502,"A",1
"Loc13",0.497699242085218,0.924074469832703,"B",3
"Loc14",0.717618508264422,0.59876096714288,"A",1
"Loc15",0.991906094830483,0.976170694921166,"A",1
"Loc16",0.380035179434344,0.731792511884123,"B",3
"Loc17",0.777445221319795,0.356726912083104,"C",5
"Loc18",0.934705231105909,0.431473690550774,"C",5
"Loc19",0.212142521282658,0.148211560677737,"A",1
"Loc20",0.651673766085878,0.0130775754805654,"C",5
"Loc21",0.125555095961317,0.715566066093743,"B",3
"Loc22",0.267220668727532,0.103184235747904,"A",1
"Loc23",0.386114092543721,0.446284348610789,"B",3
"Loc24",0.0133903331588954,0.640101045137271,"B",3
"Loc25",0.382387957070023,0.991838620044291,"B",3
"Loc26",0.86969084572047,0.495593577856198,"A",1
"Loc27",0.34034899668768,0.484349524369463,"B",3
"Loc28",0.482080115471035,0.173442334868014,"C",5
"Loc29",0.599565825425088,0.754820944508538,"A",1
"Loc30",0.493541307048872,0.453895489219576,"B",3
"Loc31",0.186217601411045,0.511169783771038,"B",3
"Loc32",0.827373318606988,0.207545113284141,"C",5
"Loc33",0.668466738192365,0.228658142732456,"C",5
"Loc34",0.79423986072652,0.595711996313184,"A",1
"Loc35",0.107943625887856,0.57487219828181,"B",3
"Loc36",0.723710946040228,0.0770643802825361,"C",5
"Loc37",0.411274429643527,0.0355405795853585,"A",1
"Loc38",0.820946294115856,0.642795492196456,"A",1
"Loc39",0.647060193819925,0.928615199634805,"A",1
"Loc40",0.78293276228942,0.598092422354966,"A",1
"Loc41",0.553036311641335,0.560900748008862,"A",1
"Loc42",0.529719580197707,0.526027723914012,"A",1
"Loc43",0.789356231689453,0.985095223877579,"A",1
"Loc44",0.023331202333793,0.507641822332516,"B",3
"Loc45",0.477230065036565,0.682788078673184,"B",3
"Loc46",0.7323137386702,0.601541217649356,"A",1
"Loc47",0.692731556482613,0.238868677755818,"C",5
"Loc48",0.477619622135535,0.258165926672518,"C",5
"Loc49",0.8612094768323,0.729309623362496,"A",1
"Loc50",0.438097107224166,0.452570831403136,"B",3
"Loc51",0.244797277031466,0.175126768415794,"A",1
"Loc52",0.0706790471449494,0.746698269620538,"B",3
"Loc53",0.0994661601725966,0.104987640399486,"A",1
"Loc54",0.31627170718275,0.864544949028641,"B",3
"Loc55",0.518634263193235,0.614644971676171,"A",1
"Loc56",0.662005076417699,0.557159538846463,"A",1
"Loc57",0.406830187188461,0.328777319053188,"A",1
"Loc58",0.912875924259424,0.453131445450708,"A",1
"Loc59",0.293603372760117,0.500440972624347,"B",3
"Loc60",0.459065726259723,0.180866361130029,"C",5
"Loc61",0.332394674187526,0.529630602803081,"B",3
"Loc62",0.65087046707049,0.0752757457084954,"C",5
"Loc63",0.258016780717298,0.277755932649598,"A",1
"Loc64",0.478545248275623,0.212699519237503,"C",5
"Loc65",0.766310670645908,0.284790480975062,"C",5
"Loc66",0.0842469143681228,0.895094102947041,"B",3
"Loc67",0.875321330036968,0.4462353233248,"A",1
"Loc68",0.339072937844321,0.779984889784828,"B",3
"Loc69",0.839440350187942,0.880619034869596,"A",1
"Loc70",0.34668348915875,0.413124209502712,"B",3
"Loc71",0.333774930797517,0.0638084805104882,"A",1
"Loc72",0.476351245073602,0.335487491684034,"C",5
"Loc73",0.892198335845023,0.723725946620107,"A",1
"Loc74",0.864339470630512,0.337615333497524,"C",5
"Loc75",0.389989543473348,0.630414122482762,"B",3
"Loc76",0.777320698834956,0.840614554006606,"A",1
"Loc77",0.960617997217923,0.856131664710119,"A",1
"Loc78",0.434659484773874,0.39135928102769,"B",3
"Loc79",0.712514678714797,0.380493885604665,"C",5
"Loc80",0.399994368897751,0.895445425994694,"B",3
"Loc81",0.325352151878178,0.644315762910992,"B",3
"Loc82",0.757087148027495,0.741078648716211,"A",1
"Loc83",0.202692255144939,0.605303446529433,"B",3
"Loc84",0.711121222469956,0.903081611497328,"A",1
"Loc85",0.121691921027377,0.293730155099183,"A",1
"Loc86",0.245488513959572,0.19126010988839,"A",1
"Loc87",0.14330437942408,0.886450943304226,"B",3
"Loc88",0.239629415096715,0.503339485730976,"B",3
"Loc89",0.0589343772735447,0.877057543024421,"B",3
"Loc90",0.642288258532062,0.189193622441962,"C",5
"Loc91",0.876269212691113,0.758103052387014,"A",1
"Loc92",0.778914677444845,0.724498892668635,"A",1
"Loc93",0.79730882588774,0.943724818294868,"A",1
