"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal1",2,2,1,1,1,10,3,9,3,17,14,3,8,2,2,7,9,3,8,18,3,14,0,8,7,3,4,6,3,0,6,10,7,1,2,1,15,2,0,1,1,1,0,3,8,2,7,5,2,4,2,2,3,0,0,4,9,0,4,6,4,6,7,17,11,7,0,5,1,5,0,0,0,7,5,0,3,1,3,0,21,2,7,0,9,18,2,3,8,28,2,0,2
"signal2",2,6,0,2,0,6,3,4,1,17,2,0,18,3,8,8,10,4,9,20,5,11,9,1,4,2,0,8,0,11,2,7,6,2,2,9,16,3,0,1,1,3,3,13,10,0,6,7,2,8,8,5,6,5,0,3,5,1,2,9,7,11,10,22,22,12,1,5,0,6,6,4,0,23,3,6,1,2,12,4,2,1,8,1,2,8,6,1,2,30,3,1,2
"signal3",0,6,3,0,0,4,16,6,3,16,4,3,17,0,9,12,16,3,20,3,15,13,23,9,7,2,4,21,3,18,2,0,13,0,3,22,17,2,2,0,7,1,2,2,10,3,10,13,1,4,7,17,38,6,6,5,5,5,3,3,1,4,2,7,4,8,1,1,0,5,7,9,1,3,9,0,2,8,11,10,7,0,9,0,9,6,3,11,3,2,1,3,2
"signal4",2,7,0,1,2,5,10,15,2,13,17,1,1,2,0,5,7,9,7,5,19,8,7,6,6,0,4,17,5,10,10,8,4,1,0,20,7,2,0,0,0,0,0,3,1,0,5,6,2,6,6,2,2,10,1,5,28,1,18,16,2,13,4,20,4,3,1,6,1,2,10,7,1,10,18,1,2,18,22,5,0,0,0,3,6,7,17,3,4,8,7,1,6
"signal5",4,5,2,0,3,5,8,3,10,0,23,0,2,2,2,6,4,20,27,3,17,0,6,0,8,3,0,6,1,1,1,3,2,0,5,7,1,5,1,0,1,1,0,4,6,7,10,14,2,5,28,5,2,0,3,7,7,2,9,16,8,14,4,15,7,13,3,2,2,3,9,4,0,11,10,0,2,1,16,5,7,1,23,3,22,25,6,9,9,37,1,4,1
"signal6",1,3,1,2,0,5,3,0,1,15,6,1,4,0,6,2,15,2,21,11,2,28,8,1,6,0,13,8,2,2,14,5,18,5,3,2,5,3,2,1,3,7,0,0,4,0,7,8,2,7,6,9,2,5,2,0,20,1,3,7,3,20,2,8,11,10,1,12,1,2,12,4,3,0,2,1,2,15,15,5,15,3,17,3,4,8,4,5,2,1,1,3,4
"signal7",4,5,1,3,1,7,19,4,4,6,17,0,8,6,1,3,19,6,6,0,11,10,0,7,0,8,2,7,2,3,10,4,23,1,5,25,18,0,4,4,1,1,2,11,6,3,2,10,0,3,3,2,2,8,0,1,5,0,4,3,1,2,5,8,6,3,2,8,5,4,2,9,1,1,2,3,0,1,8,1,10,3,9,1,10,12,12,2,2,3,0,4,5
"signal8",1,7,4,5,4,7,15,10,4,4,14,3,0,0,0,5,7,25,2,1,4,13,17,4,8,3,3,3,2,16,2,12,21,3,7,11,2,6,2,0,0,1,0,3,3,0,5,3,0,4,10,4,2,2,1,4,3,1,14,15,12,17,8,18,12,22,1,4,6,1,13,6,1,6,0,1,0,1,9,9,2,1,3,5,5,15,8,5,5,6,1,1,1
"signal9",2,0,3,0,1,3,0,18,1,6,10,2,8,1,2,4,28,28,13,1,5,22,10,4,3,1,2,32,4,5,6,35,1,1,5,25,17,5,3,0,1,4,6,2,7,0,15,7,2,3,41,11,6,3,2,0,12,1,0,40,8,13,16,1,14,3,4,0,1,4,2,16,3,10,8,0,1,4,4,7,14,4,1,3,1,16,14,2,6,1,4,4,3
"signal10",1,5,2,0,2,1,17,4,11,2,5,0,2,0,2,2,4,27,2,8,0,0,8,20,9,0,8,6,1,10,6,6,10,2,16,6,11,0,2,5,3,1,0,5,0,1,6,10,0,13,21,11,7,2,2,1,6,0,3,0,6,4,10,2,3,5,2,2,4,5,8,18,1,7,0,1,0,16,15,7,3,0,2,3,16,13,8,4,0,13,2,1,0
