"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,1,1,1,3,4,6,3,3,1,6,0,1,2,2,2,11,2,4,7,1,3,0,1,5,9,1,4,3,0,6,2,4,3,2,0,11,3,0,1,4,1,0,1,8,2,4,2,4,1,1,1,1,0,1,4,6,0,3,4,1,4,4,10,3,5,1,4,3,5,0,0,1,1,5,0,4,1,2,0,21,4,2,1,3,11,2,6,3,8,17,2,1,2,5,6,0,2,1
"signal2",4,2,1,0,2,5,2,4,12,12,8,8,3,0,3,6,0,4,3,3,2,0,1,10,15,8,1,0,10,0,0,8,0,6,11,4,3,5,3,3,3,13,2,0,1,3,0,8,4,4,0,3,5,2,2,9,5,6,4,3,10,2,6,4,1,4,3,0,6,1,10,8,2,1,7,0,10,3,2,8,3,2,2,3,3,0,1,3,1,2,19,8,1,6,0,6,9,0,0,1
"signal3",10,2,0,6,0,2,9,6,0,11,1,3,2,2,4,0,1,17,3,15,8,7,1,5,2,7,5,1,2,1,8,23,1,7,6,2,6,1,8,1,2,2,0,1,0,4,0,8,1,1,0,5,3,5,10,3,2,1,2,5,6,3,2,6,6,0,2,4,0,4,3,1,1,6,2,7,5,2,3,16,10,3,9,5,5,2,5,1,7,1,15,3,1,6,4,2,4,4,2,7
"signal4",0,15,5,0,5,3,0,0,1,2,2,1,0,0,1,2,2,3,2,1,10,1,5,4,3,1,8,0,0,2,2,6,1,2,3,0,6,10,1,3,1,12,4,2,0,0,0,11,0,4,6,0,3,5,7,2,2,11,2,5,2,3,3,5,3,3,6,11,2,3,2,6,2,6,1,11,12,9,8,6,2,6,0,4,7,0,0,3,0,4,1,0,1,6,3,4,6,1,0,2
"signal5",9,4,3,0,1,4,15,7,10,2,4,2,5,0,0,3,7,4,6,9,11,1,4,3,8,2,1,7,8,0,1,5,0,1,7,10,1,4,0,4,6,4,2,4,0,9,1,3,1,6,0,2,1,0,1,10,0,5,1,0,12,1,9,14,13,2,2,1,12,2,6,11,0,1,2,2,1,4,14,3,2,10,3,5,3,1,1,3,6,21,10,6,3,0,5,2,7,1,0,2
"signal6",8,5,2,0,6,4,3,8,8,1,1,5,1,2,1,1,0,4,4,8,0,1,2,7,2,4,15,3,7,0,5,3,3,17,7,3,5,4,3,1,0,23,3,2,0,4,1,12,2,8,1,5,4,4,8,18,1,5,4,6,0,1,1,7,0,3,14,0,12,2,4,8,0,2,2,3,3,11,4,5,14,7,5,1,14,2,1,2,27,3,7,23,0,2,2,1,6,4,3,0
"signal7",5,2,0,4,0,1,3,2,4,1,0,1,2,3,0,1,2,8,14,8,4,3,1,10,5,1,10,3,9,1,2,8,5,2,2,2,3,13,7,0,5,14,4,2,4,1,0,1,8,2,3,4,8,8,4,21,2,5,0,3,9,6,10,8,10,3,1,3,11,0,3,5,5,0,1,7,1,1,6,2,2,3,2,0,8,5,4,0,14,2,5,7,4,9,4,10,10,3,0,9
"signal8",0,2,1,1,6,11,2,10,13,10,4,6,4,2,1,3,1,8,5,3,10,3,3,4,5,0,7,0,4,0,0,18,1,4,6,7,8,3,4,1,6,6,4,1,3,13,0,7,4,4,1,7,0,13,5,9,1,21,0,1,5,6,11,5,0,0,0,9,12,15,7,3,3,2,1,3,18,7,6,8,3,1,5,4,2,3,2,2,8,12,10,0,1,5,6,1,1,4,4,0
"signal9",3,4,0,4,3,0,8,2,2,8,3,16,3,0,4,2,5,10,11,1,0,2,4,19,9,14,13,6,11,0,1,5,0,7,1,5,3,8,3,2,5,3,0,1,0,6,0,2,8,3,3,8,1,3,5,3,2,10,2,2,2,2,22,0,6,8,3,11,0,6,7,15,7,4,2,3,2,7,1,7,8,13,8,2,2,5,1,1,0,3,0,6,1,6,0,2,5,2,0,6
"signal10",5,6,6,1,2,0,3,2,16,23,2,1,3,3,6,3,1,2,2,0,3,4,2,2,0,0,4,3,27,3,1,9,3,5,4,6,0,3,2,0,0,28,3,5,3,3,0,3,3,0,5,0,3,12,2,10,2,3,0,2,2,6,12,7,5,1,1,1,1,5,5,7,1,3,0,6,1,2,10,24,4,4,9,4,15,5,1,2,11,3,9,17,0,9,4,4,5,1,2,3
