"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,1,1,1,1,4,6,3,3,1,6,0,1,2,2,2,11,2,4,7,1,3,0,1,2,9,1,4,3,0,6,2,4,3,2,0,11,2,0,1,4,1,0,1,8,2,4,2,4,1,1,1,1,0,1,4,6,0,1,4,1,4,4,10,3,2,0,2,3,5,0,0,1,1,5,0,3,1,2,0,21,2,2,1,2,11,2,6,3,8,17,2,1,2,5,6,0,2,0
"signal2",4,2,1,0,2,2,2,4,12,12,8,8,3,0,3,6,0,4,3,3,2,0,1,10,15,4,1,0,10,0,0,8,0,6,11,4,3,5,1,3,3,13,2,0,1,3,0,8,4,4,0,3,3,2,2,9,5,6,4,1,10,2,6,4,1,4,1,0,3,1,10,8,2,1,7,0,6,1,2,8,1,2,1,3,3,0,1,3,1,2,19,8,1,6,0,6,9,0,0,1
"signal3",10,2,0,6,0,1,9,6,0,11,1,3,2,2,4,0,1,17,3,15,8,7,1,5,2,3,5,1,2,1,8,23,1,7,6,2,6,1,4,1,2,2,0,1,0,4,0,8,1,1,0,5,1,5,10,3,2,1,2,3,6,3,2,6,6,0,1,2,0,4,3,1,1,6,2,7,3,0,3,16,6,3,5,5,5,1,5,1,7,1,15,3,1,6,2,2,4,4,2,3
"signal4",0,15,5,0,5,2,0,0,1,2,2,1,0,0,1,2,2,3,2,1,10,1,5,4,3,1,8,0,0,2,2,6,1,2,3,0,6,10,0,3,1,12,4,2,0,0,0,11,0,4,6,0,2,5,7,2,2,11,2,3,2,3,3,5,3,3,3,6,1,3,2,6,2,6,1,11,7,4,8,6,0,6,0,4,7,0,0,3,0,4,1,0,1,6,2,4,6,1,0,1
"signal5",9,4,3,0,1,2,15,7,10,2,4,2,5,0,0,3,7,4,6,9,11,1,4,3,8,1,1,7,8,0,1,5,0,1,7,10,1,4,0,4,6,4,2,4,0,9,1,3,1,6,0,2,0,0,1,10,0,5,1,0,12,1,9,14,13,2,1,1,7,2,6,11,0,1,2,2,0,2,14,3,1,10,2,5,3,0,1,3,6,21,10,6,3,0,2,2,7,1,0,1
"signal6",8,5,2,0,6,1,3,8,8,1,1,5,1,2,1,1,0,4,4,8,0,1,2,7,2,2,15,3,7,0,5,3,3,17,7,3,5,4,1,1,0,23,3,2,0,4,1,12,2,8,1,5,1,4,8,18,1,5,4,3,0,1,1,7,0,3,8,0,8,2,4,8,0,2,2,3,2,6,4,5,8,3,3,1,14,0,1,2,27,3,7,23,0,2,1,1,6,4,3,0
"signal7",5,2,0,4,0,1,3,2,4,1,0,1,2,3,0,1,2,8,14,8,4,3,1,10,5,0,10,3,9,1,2,8,5,2,2,2,3,13,3,0,5,14,4,2,4,1,0,1,8,2,3,4,4,8,4,21,2,5,0,1,9,6,10,8,10,3,0,2,6,0,3,5,5,0,1,7,0,0,6,2,1,3,0,0,8,2,4,0,14,2,5,7,4,9,2,10,10,3,0,4
"signal8",0,2,1,1,6,6,2,10,13,10,4,6,4,2,1,3,1,8,5,3,10,3,3,4,5,0,7,0,4,0,0,18,1,4,6,7,8,3,2,1,6,6,4,1,3,13,0,7,4,4,1,7,0,13,5,9,1,21,0,1,5,6,11,5,0,0,0,4,6,2,7,3,3,2,1,3,10,3,3,2,1,5,3,2,6,2,2,2,8,12,10,0,1,5,3,1,1,4,4,0
"signal9",3,4,0,4,3,0,8,2,2,8,3,16,3,0,4,2,5,10,11,1,0,2,4,19,9,8,13,6,11,0,1,5,0,7,1,5,3,8,2,2,5,3,0,1,0,6,0,2,8,3,3,8,1,3,5,3,2,10,2,1,2,2,22,0,6,8,2,6,0,6,7,15,7,4,2,3,0,4,1,7,4,1,0,3,17,5,1,2,4,7,3,3,0,6,1,6,1,1,2,2
"signal10",2,8,2,3,6,1,4,0,3,2,7,7,1,1,0,1,3,10,13,10,13,1,3,9,5,1,6,0,3,1,0,1,10,5,19,10,3,0,2,0,5,0,1,4,1,8,2,3,0,2,0,18,0,2,8,5,0,1,1,1,5,2,3,3,0,3,0,1,4,24,6,4,5,10,1,8,0,9,1,9,1,11,2,1,1,0,1,0,5,4,7,4,0,5,0,3,0,3,2,1
"signal11",9,14,3,2,3,0,11,2,25,13,0,16,0,1,2,0,1,3,4,6,0,4,1,2,14,5,7,1,1,1,0,4,0,10,8,1,9,2,0,0,2,10,2,3,2,12,7,10,0,5,0,11,2,9,0,19,7,3,2,1,6,3,2,12,6,4,0,6,3,0,2,3,1,2,3,6,2,1,3,9,0,4,7,4,5,0,2,2,1,3,2,5,0,6,9,8,0,0,6,4
"signal12",2,15,3,3,3,1,5,2,1,8,0,2,0,0,0,3,1,5,1,3,1,4,0,5,3,0,2,8,8,0,3,4,0,6,7,5,2,5,0,2,4,2,0,5,0,4,1,2,2,5,3,7,0,12,9,1,8,2,1,0,14,3,8,7,14,2,4,2,3,7,6,9,1,5,2,7,0,0,5,5,2,6,2,7,5,3,9,0,14,4,1,4,1,3,2,4,2,6,2,2
"signal13",2,7,1,3,5,1,4,6,10,9,1,18,2,1,3,0,2,0,14,4,7,0,3,24,4,0,11,3,3,0,1,0,3,14,12,7,8,12,4,2,2,7,0,3,2,16,4,6,0,22,1,3,2,0,3,6,1,1,3,5,3,0,12,14,3,1,1,5,3,2,3,11,1,0,0,4,0,1,6,5,2,9,4,2,2,1,5,2,10,3,4,7,0,14,3,8,3,2,4,9
"signal14",3,6,2,0,1,0,10,7,6,2,11,7,0,0,0,2,1,4,5,2,10,1,0,7,6,3,7,3,13,3,3,7,4,14,5,4,9,3,3,3,4,1,2,4,1,16,5,4,6,20,3,0,6,9,2,10,6,8,0,0,14,0,0,9,5,2,5,2,3,4,6,10,1,19,1,7,1,1,2,4,0,8,4,5,9,4,1,1,11,16,1,6,0,6,3,2,0,4,4,2
"signal15",6,7,5,0,2,1,4,10,5,16,3,5,2,1,3,4,5,0,4,16,7,5,2,1,3,0,8,0,8,4,0,1,2,3,4,15,7,0,4,2,5,1,2,2,1,8,1,6,0,6,0,3,1,11,11,1,3,4,0,1,17,2,1,4,8,1,6,0,1,0,6,1,1,9,3,16,0,0,14,8,4,9,1,3,2,8,1,5,3,6,13,3,0,8,0,6,9,3,12,10
"signal16",8,4,3,2,1,3,2,2,4,2,3,4,3,0,2,1,1,3,3,5,1,3,3,7,6,3,4,1,11,1,2,7,2,5,10,6,3,10,4,4,1,5,4,2,0,4,1,13,4,7,0,5,5,9,11,5,1,6,0,4,9,1,10,14,7,4,7,0,7,8,6,4,4,3,1,5,4,5,2,0,0,10,2,0,1,2,2,1,2,0,5,1,2,0,2,7,1,3,2,0
"signal17",8,0,1,0,0,1,5,7,9,5,2,4,0,0,1,0,0,2,9,2,1,0,0,5,14,0,3,3,6,5,3,5,0,12,7,1,1,0,2,3,0,8,1,0,2,5,2,8,3,5,2,0,5,8,1,16,1,2,5,1,5,5,0,14,0,1,2,0,0,9,7,1,0,1,4,11,5,1,9,8,0,8,1,0,11,3,1,2,20,4,6,3,0,11,1,7,7,0,3,4
"signal18",4,0,3,4,3,1,3,4,18,4,3,4,0,3,1,0,1,12,8,2,15,0,0,4,9,6,2,3,4,1,1,8,4,3,3,5,1,2,3,2,1,6,1,4,5,9,0,7,0,15,1,1,4,6,0,15,2,5,1,4,2,2,11,2,0,0,0,0,0,0,6,5,7,0,0,2,0,0,3,2,3,4,3,1,7,2,5,0,3,9,4,3,1,6,2,5,3,1,2,0
"signal19",2,5,2,4,2,2,1,3,3,2,8,9,2,1,1,0,0,2,2,5,10,0,1,5,7,3,3,1,4,0,0,15,1,0,2,4,0,5,5,0,1,0,6,3,0,5,0,12,0,3,3,6,5,1,2,2,1,16,5,2,4,1,7,2,12,1,0,0,0,4,1,4,4,11,2,1,2,6,5,8,2,4,0,0,5,1,1,4,4,0,1,3,0,4,1,0,4,1,2,0
"signal20",6,5,5,2,2,7,6,11,4,4,6,6,1,0,5,1,5,0,3,8,3,0,12,12,6,2,1,1,10,5,1,4,3,19,0,6,2,4,1,2,3,4,0,1,3,2,0,6,5,4,0,3,5,23,2,2,1,5,0,9,5,0,3,9,5,2,0,4,1,9,3,1,4,7,4,13,3,1,7,8,2,1,3,0,4,1,9,3,1,3,7,9,2,0,0,6,18,0,3,3
"signal21",2,14,0,0,1,3,5,1,14,4,0,12,0,1,3,2,3,5,3,2,2,0,0,0,10,5,2,1,0,0,3,0,3,3,3,4,2,2,1,0,9,1,1,4,0,6,4,14,4,6,2,6,4,6,8,1,0,0,0,0,0,2,6,0,4,2,1,0,1,10,11,2,1,11,3,4,3,1,6,3,3,6,0,2,10,3,2,0,3,5,1,9,5,0,0,5,7,5,2,2
"signal22",3,4,2,3,1,0,6,1,2,2,1,5,1,4,3,0,2,4,0,3,12,5,0,5,1,4,4,0,3,3,1,1,4,2,7,0,1,5,2,11,1,0,1,3,0,9,1,10,0,4,4,6,5,12,1,5,4,11,2,1,10,3,4,0,13,1,5,2,0,3,6,13,5,11,0,1,2,1,6,0,0,8,0,0,3,0,4,1,2,8,3,8,2,2,1,6,8,4,2,0
"signal23",1,13,0,4,1,3,10,1,1,5,1,3,0,0,3,2,1,8,3,1,3,2,0,7,4,0,9,4,2,1,0,4,1,9,8,16,6,4,0,1,0,14,2,1,3,12,3,1,7,1,0,6,2,4,2,3,1,6,0,3,5,6,5,10,3,0,4,2,0,14,3,9,3,2,0,4,2,0,18,9,0,1,3,2,7,1,3,3,13,4,0,15,2,8,0,2,20,0,3,5
"signal24",7,0,1,1,6,1,8,5,5,17,4,11,3,0,2,4,4,6,6,3,7,1,0,4,8,6,12,6,3,2,2,3,2,5,4,3,7,4,1,5,1,11,1,4,0,7,0,6,2,5,4,3,2,6,3,2,2,2,5,4,7,1,0,10,2,3,3,1,0,2,11,1,1,4,4,10,1,5,0,2,3,2,3,0,8,1,1,2,10,2,1,11,1,2,1,4,0,5,6,4
"signal25",5,5,1,5,2,5,27,15,1,8,3,20,0,0,6,1,6,10,6,6,9,6,0,6,8,3,6,2,12,1,0,1,1,1,8,2,2,3,1,4,1,10,1,8,3,7,0,9,1,6,2,15,1,4,8,4,0,4,0,4,3,1,1,6,9,2,3,0,2,10,9,11,2,3,0,5,2,0,7,1,0,6,6,3,5,1,7,3,18,21,2,5,3,4,1,11,6,0,0,2
