"","x","y","group","foldchange"
"Loc1",0.426907666493207,0.824275196995586,"A",1
"Loc2",0.693102080840617,0.290637761820108,"C",5
"Loc3",0.0851359688676894,0.0720360127743334,"A",1
"Loc4",0.225436616456136,0.558888418832794,"A",1
"Loc5",0.274530522990972,0.182447927305475,"A",1
"Loc6",0.272305066231638,0.0844999002292752,"A",1
"Loc7",0.615829307818785,0.248142116470262,"C",5
"Loc8",0.429671525489539,0.906543316785246,"A",1
"Loc9",0.651655666995794,0.85614666598849,"A",1
"Loc10",0.567737752571702,0.782095688628033,"A",1
"Loc11",0.113508982118219,0.244338953401893,"A",1
"Loc12",0.595925305271521,0.313855189131573,"A",1
"Loc13",0.358049975009635,0.128475250909105,"A",1
"Loc14",0.428809418343008,0.929947183467448,"A",1
"Loc15",0.0519033221062273,0.136842572828755,"A",1
"Loc16",0.264177667442709,0.585483640432358,"A",1
"Loc17",0.398790730861947,0.155553098069504,"A",1
"Loc18",0.836134143406525,0.644778803223744,"A",1
"Loc19",0.864721225807443,0.659198737703264,"A",1
"Loc20",0.615352416876704,0.981023641536012,"A",1
"Loc21",0.775109896436334,0.68358251452446,"A",1
"Loc22",0.355568691389635,0.998710233252496,"A",1
"Loc23",0.405849972041324,0.00990626006387174,"A",1
"Loc24",0.706646913895383,0.603668688330799,"A",1
"Loc25",0.838287665275857,0.506484709214419,"A",1
"Loc26",0.239589131204411,0.607897923793644,"A",1
"Loc27",0.770771533250809,0.836544176563621,"A",1
"Loc28",0.355897744419053,0.999887541634962,"A",1
"Loc29",0.535597037756816,0.789978960296139,"A",1
"Loc30",0.0930881295353174,0.959772636182606,"A",1
"Loc31",0.169803041499108,0.547600343357772,"A",1
"Loc32",0.899832450784743,0.785699081607163,"A",1
"Loc33",0.422637606970966,0.00741271558217704,"A",1
"Loc34",0.747746467823163,0.748897766461596,"A",1
"Loc35",0.822652579983696,0.512374196201563,"A",1
"Loc36",0.95465364633128,0.00693977507762611,"A",1
"Loc37",0.685444509377703,0.368530936539173,"C",5
"Loc38",0.500503229675815,0.995158559177071,"A",1
"Loc39",0.275483862496912,0.395976204192266,"A",1
"Loc40",0.228903944836929,0.190524214413017,"A",1
"Loc41",0.0144339059479535,0.360975527204573,"A",1
"Loc42",0.728964562527835,0.438141520135105,"A",1
"Loc43",0.249880471732467,0.315203248523176,"A",1
"Loc44",0.161183276679367,0.00216741394251585,"A",1
"Loc45",0.0170426501426846,0.588129302253947,"A",1
"Loc46",0.486100345151499,0.726868433412164,"A",1
"Loc47",0.102900171885267,0.992448723874986,"A",1
"Loc48",0.801547004608437,0.404567411635071,"C",5
"Loc49",0.354328064946458,0.932712010573596,"B",3
"Loc50",0.936432539252564,0.515291843796149,"A",1
"Loc51",0.245866392273456,0.236622818512842,"A",1
"Loc52",0.473141461377963,0.204199694562703,"A",1
"Loc53",0.191560871200636,0.320230655604973,"A",1
"Loc54",0.583221969893202,0.310451736673713,"A",1
"Loc55",0.459473189897835,0.746310206362978,"A",1
"Loc56",0.467434047954157,0.746057917596772,"A",1
"Loc57",0.399832555558532,0.989280897891149,"A",1
"Loc58",0.505285596242175,0.718997437041253,"A",1
"Loc59",0.0318881559651345,0.628358967369422,"A",1
"Loc60",0.114467588020489,0.385247600032017,"A",1
"Loc61",0.468935475917533,0.525460533797741,"A",1
"Loc62",0.396986737614498,0.138407893711701,"A",1
"Loc63",0.833619194105268,0.127234637271613,"A",1
"Loc64",0.761121743358672,0.374613657128066,"C",5
"Loc65",0.573356448905542,0.881081453291699,"A",1
"Loc66",0.447508045937866,0.0227247045841068,"A",1
"Loc67",0.0838020080700517,0.516506901476532,"A",1
"Loc68",0.219138547312468,0.686634421348572,"B",3
"Loc69",0.07557029183954,0.112451479770243,"A",1
"Loc70",0.534426784375682,0.570356854004785,"A",1
"Loc71",0.641356576699764,0.529174839844927,"A",1
"Loc72",0.525739317527041,0.260562364477664,"A",1
"Loc73",0.0392813880462199,0.398464104626328,"A",1
"Loc74",0.545859839767218,0.728457826888189,"A",1
"Loc75",0.372763097286224,0.60519089223817,"A",1
"Loc76",0.961302414536476,0.401694050990045,"A",1
"Loc77",0.257341569056734,0.917389495763928,"B",3
"Loc78",0.207951683318242,0.995638855732977,"A",1
"Loc79",0.861382439732552,0.576551703503355,"A",1
"Loc80",0.464391982648522,0.151045556180179,"A",1
"Loc81",0.222867433447391,0.723180705681443,"B",3
"Loc82",0.623549601528794,0.368267535930499,"C",5
"Loc83",0.203647700604051,0.203276594635099,"A",1
"Loc84",0.0196734135970473,0.468650533352047,"A",1
"Loc85",0.797993005951867,0.652682658983395,"A",1
"Loc86",0.274318896699697,0.958231098949909,"A",1
"Loc87",0.166609104024246,0.649832244496793,"A",1
"Loc88",0.170151718193665,0.915735928574577,"B",3
"Loc89",0.4885059366934,0.853380956687033,"A",1
"Loc90",0.711409077281132,0.826252289349213,"A",1
"Loc91",0.591934921452776,0.876118004089221,"A",1
"Loc92",0.517156876856461,0.273703517392278,"A",1
"Loc93",0.381627685856074,0.150465732673183,"A",1
"Loc94",0.834778329590335,0.860991935478523,"A",1
"Loc95",0.249008050654083,0.399566987529397,"A",1
"Loc96",0.540601027896628,0.0477746208198369,"A",1
"Loc97",0.743839403614402,0.898612328106537,"A",1
"Loc98",0.0300118550658226,0.638079722411931,"A",1
"Loc99",0.344343504868448,0.933521745260805,"B",3
"Loc100",0.0613225530833006,0.747878266964108,"B",3
"Loc101",0.368979808874428,0.722541918512434,"A",1
"Loc102",0.407593560405076,0.545770941767842,"A",1
"Loc103",0.914336755406111,0.264123109634966,"A",1
"Loc104",0.888705248013139,0.305724309524521,"A",1
"Loc105",0.983732176246122,0.785921553615481,"A",1
"Loc106",0.477195278741419,0.182548804208636,"A",1
"Loc107",0.693508233409375,0.549890450201929,"A",1
"Loc108",0.42574646230787,0.648654977791011,"A",1
"Loc109",0.784166532801464,0.62655958882533,"A",1
"Loc110",0.842695987317711,0.821511792484671,"A",1
"Loc111",0.183472146512941,0.327949171420187,"A",1
"Loc112",0.528539601247758,0.59027798846364,"A",1
"Loc113",0.702947550453246,0.778412843123078,"A",1
"Loc114",0.913272760109976,0.421282140072435,"A",1
"Loc115",0.259173918282613,0.0802334439940751,"A",1
"Loc116",0.792624769965187,0.798614542931318,"A",1
"Loc117",0.614469551481307,0.119788093492389,"A",1
"Loc118",0.700620528310537,0.497165780514479,"A",1
"Loc119",0.107933233957738,0.695533271413296,"B",3
"Loc120",0.333865793189034,0.443002371350303,"A",1
"Loc121",0.324131608242169,0.906041345559061,"B",3
"Loc122",0.565425756154582,0.150187351973727,"A",1
"Loc123",0.203178191324696,0.991642398992553,"A",1
"Loc124",0.219704507384449,0.481737596914172,"A",1
"Loc125",0.633115279255435,0.472984601045027,"A",1
"Loc126",0.352520510321483,0.138950557913631,"A",1
"Loc127",0.856873234035447,0.419260729569942,"A",1
"Loc128",0.950721567496657,0.83570055803284,"A",1
"Loc129",0.888031510869041,0.97705667372793,"A",1
"Loc130",0.0468587768264115,0.785305551253259,"A",1
"Loc131",0.769040513783693,0.938611030345783,"A",1
"Loc132",0.230225422652438,0.837610882939771,"B",3
"Loc133",0.315184117760509,0.109660121612251,"A",1
"Loc134",0.282669585896656,0.95800781599246,"A",1
"Loc135",0.713195651303977,0.99590927339159,"A",1
"Loc136",0.862137916730717,0.449904113309458,"A",1
"Loc137",0.10632352065295,0.775479173054919,"B",3
"Loc138",0.550327755743638,0.994367240695283,"A",1
"Loc139",0.648369514383376,0.85436626477167,"A",1
"Loc140",0.234786699060351,0.332484601531178,"A",1
"Loc141",0.0762972147203982,0.83095472981222,"B",3
