,x,y,group,foldchange
Loc1,0.426907666,0.824275197,A,1
Loc2,0.693102081,0.290637762,A,1
Loc3,0.085135969,0.072036013,A,1
Loc4,0.225436616,0.558888419,A,5
Loc5,0.274530523,0.182447927,A,1
Loc6,0.272305066,0.0844999,A,1
Loc7,0.615829308,0.248142116,A,1
Loc8,0.429671525,0.906543317,A,1
Loc9,0.651655667,0.856146666,A,1
Loc10,0.567737753,0.782095689,A,1
Loc11,0.113508982,0.244338953,A,1
Loc12,0.595925305,0.313855189,A,1
Loc13,0.358049975,0.128475251,A,1
Loc14,0.428809418,0.929947183,A,1
Loc15,0.051903322,0.136842573,A,1
Loc16,0.264177667,0.58548364,A,5
Loc17,0.398790731,0.155553098,A,1
Loc18,0.836134143,0.644778803,A,1
Loc19,0.864721226,0.659198738,A,1
Loc20,0.615352417,0.981023642,A,1
Loc21,0.775109896,0.683582515,A,1
Loc22,0.355568691,0.998710233,A,1
Loc23,0.405849972,0.00990626,A,1
Loc24,0.706646914,0.603668688,A,1
Loc25,0.838287665,0.506484709,A,1
Loc26,0.239589131,0.607897924,A,5
Loc27,0.770771533,0.836544177,A,1
Loc28,0.355897744,0.999887542,A,1
Loc29,0.535597038,0.78997896,A,1
Loc30,0.09308813,0.959772636,A,1
Loc31,0.169803041,0.547600343,A,5
Loc32,0.899832451,0.785699082,A,1
Loc33,0.422637607,0.007412716,A,1
Loc34,0.747746468,0.748897766,A,1
Loc35,0.82265258,0.512374196,A,1
Loc36,0.954653646,0.006939775,A,1
Loc37,0.685444509,0.368530937,A,1
Loc38,0.50050323,0.995158559,A,1
Loc39,0.275483862,0.395976204,A,3
Loc40,0.228903945,0.190524214,A,1
Loc41,0.014433906,0.360975527,A,1
Loc42,0.728964563,0.43814152,A,1
Loc43,0.249880472,0.315203249,A,3
Loc44,0.161183277,0.002167414,A,1
Loc45,0.01704265,0.588129302,A,1
Loc46,0.486100345,0.726868433,A,5
Loc47,0.102900172,0.992448724,A,1
Loc48,0.801547005,0.404567412,A,1
Loc49,0.354328065,0.932712011,A,1
Loc50,0.936432539,0.515291844,A,1
Loc51,0.245866392,0.236622819,A,1
Loc52,0.473141461,0.204199695,A,1
Loc53,0.191560871,0.320230656,A,3
Loc54,0.58322197,0.310451737,A,1
Loc55,0.45947319,0.746310206,A,5
Loc56,0.467434048,0.746057918,A,5
Loc57,0.399832556,0.989280898,A,1
Loc58,0.505285596,0.718997437,A,5
Loc59,0.031888156,0.628358967,A,1
Loc60,0.114467588,0.3852476,A,1
Loc61,0.468935476,0.525460534,A,3
Loc62,0.396986738,0.138407894,A,1
Loc63,0.833619194,0.127234637,A,1
Loc64,0.761121743,0.374613657,A,1
Loc65,0.573356449,0.881081453,A,1
Loc66,0.447508046,0.022724705,A,1
Loc67,0.083802008,0.516506901,A,5
Loc68,0.219138547,0.686634421,A,5
Loc69,0.075570292,0.11245148,A,1
Loc70,0.534426784,0.570356854,A,1
Loc71,0.641356577,0.52917484,A,1
Loc72,0.525739318,0.260562364,A,1
Loc73,0.039281388,0.398464105,A,1
Loc74,0.54585984,0.728457827,A,1
Loc75,0.372763097,0.605190892,A,5
Loc76,0.961302415,0.401694051,A,1
Loc77,0.257341569,0.917389496,A,1
Loc78,0.207951683,0.995638856,A,1
Loc79,0.86138244,0.576551704,A,1
Loc80,0.464391983,0.151045556,A,1
Loc81,0.222867433,0.723180706,A,5
Loc82,0.623549602,0.368267536,A,1
Loc83,0.203647701,0.203276595,A,1
Loc84,0.019673414,0.468650533,A,1
Loc85,0.797993006,0.652682659,A,1
Loc86,0.274318897,0.958231099,A,1
Loc87,0.166609104,0.649832244,A,5
Loc88,0.170151718,0.915735929,A,1
Loc89,0.488505937,0.853380957,A,1
Loc90,0.711409077,0.826252289,A,1
Loc91,0.591934921,0.876118004,A,1
Loc92,0.517156877,0.273703517,A,1
Loc93,0.381627686,0.150465733,A,1
Loc94,0.83477833,0.860991935,A,1
Loc95,0.249008051,0.399566988,A,3
Loc96,0.540601028,0.047774621,A,1
Loc97,0.743839404,0.898612328,A,1
Loc98,0.030011855,0.638079722,A,1
Loc99,0.344343505,0.933521745,A,1
Loc100,0.061322553,0.747878267,A,1
Loc101,0.368979809,0.722541919,A,5
Loc102,0.40759356,0.545770942,A,3
Loc103,0.914336755,0.26412311,A,1
Loc104,0.888705248,0.30572431,A,1
Loc105,0.983732176,0.785921554,A,1
Loc106,0.477195279,0.182548804,A,1
Loc107,0.693508233,0.54989045,A,1
Loc108,0.425746462,0.648654978,A,5
Loc109,0.784166533,0.626559589,A,1
Loc110,0.842695987,0.821511792,A,1
Loc111,0.183472147,0.327949171,A,3
Loc112,0.528539601,0.590277988,A,1
Loc113,0.70294755,0.778412843,A,1
Loc114,0.91327276,0.42128214,A,1
Loc115,0.259173918,0.080233444,A,1
Loc116,0.79262477,0.798614543,A,1
Loc117,0.614469551,0.119788093,A,1
Loc118,0.700620528,0.497165781,A,1
Loc119,0.107933234,0.695533271,A,1
Loc120,0.333865793,0.443002371,A,3
Loc121,0.324131608,0.906041346,A,1
Loc122,0.565425756,0.150187352,A,1
Loc123,0.203178191,0.991642399,A,1
Loc124,0.219704507,0.481737597,A,3
Loc125,0.633115279,0.472984601,A,1
Loc126,0.35252051,0.138950558,A,1
Loc127,0.856873234,0.41926073,A,1
Loc128,0.950721567,0.835700558,A,1
Loc129,0.888031511,0.977056674,A,1
Loc130,0.046858777,0.785305551,A,1
Loc131,0.769040514,0.93861103,A,1
Loc132,0.230225423,0.837610883,A,1
Loc133,0.315184118,0.109660122,A,1
Loc134,0.282669586,0.958007816,A,1
Loc135,0.713195651,0.995909273,A,1
Loc136,0.862137917,0.449904113,A,1
Loc137,0.106323521,0.775479173,A,1
Loc138,0.550327756,0.994367241,A,1
Loc139,0.648369514,0.854366265,A,1
Loc140,0.234786699,0.332484602,A,3
Loc141,0.076297215,0.83095473,A,1
Loc142,0.923095043,0.521724016,A,1
Loc143,0.147216693,0.797825431,A,1
Loc144,0.822390375,0.584105766,A,1
Loc145,0.413518392,0.432789951,A,3
Loc146,0.61252061,0.184224183,A,1
Loc147,0.068120502,0.342946933,A,1
Loc148,0.904132198,0.084464446,A,1
Loc149,0.879543199,0.616232814,A,1
Loc150,0.197116873,0.235762393,A,1
Loc151,0.069459711,0.408317743,A,1
Loc152,0.157339573,0.716011365,A,1
Loc153,0.33345678,0.327048376,A,3
Loc154,0.180061774,0.012941041,A,1
Loc155,0.146482687,0.508899982,A,5
Loc156,0.290575438,0.322516995,A,3
Loc157,0.936068888,0.517734042,A,1
Loc158,0.102460469,0.610396073,A,1
Loc159,0.723351882,0.684642654,A,1
Loc160,0.516401494,0.888747016,A,1
Loc161,0.411899478,0.737487884,A,5
Loc162,0.41326528,0.689914271,A,5
Loc163,0.762044408,0.022710082,A,1
Loc164,0.259176547,0.229486351,A,1
Loc165,0.76318978,0.244891027,A,1
Loc166,0.982404814,0.541362925,A,1
Loc167,0.670119031,0.448027994,A,1
Loc168,0.589927892,0.781770059,A,1
Loc169,0.56309884,0.365328471,A,1
Loc170,0.761796804,0.363040445,A,1
Loc171,0.745297401,0.47909988,A,1
Loc172,0.707827262,0.118028502,A,1
Loc173,0.986808244,0.538288923,A,1
Loc174,0.451630907,0.291478881,A,1
Loc175,0.118217408,0.605037134,A,1
Loc176,0.238635319,0.363013173,A,3
Loc177,0.470522762,0.710482037,A,5
Loc178,0.352323071,0.486796506,A,3
Loc179,0.338575245,0.891667697,A,1
Loc180,0.127301266,0.349029623,A,1
Loc181,0.424073856,0.612229021,A,5
Loc182,0.47331084,0.315482072,A,1
Loc183,0.527722007,0.323191441,A,1
Loc184,0.626953609,0.375130329,A,1
Loc185,0.876026092,0.73351478,A,1
Loc186,0.679157037,0.185734785,A,1
Loc187,0.724064011,0.234534372,A,1
Loc188,0.181847723,0.84651382,A,1
Loc189,0.077855519,0.947321398,A,1
Loc190,0.072197404,0.640187209,A,1
Loc191,0.054062594,0.268725079,A,1
Loc192,0.517273405,0.895056379,A,1
Loc193,0.814051569,0.649711262,A,1
Loc194,0.449048402,0.759947507,A,5
Loc195,0.558894888,0.98276462,A,1
Loc196,0.279880107,0.025754627,A,1
Loc197,0.890094037,0.151841507,A,1
Loc198,0.715849278,0.453398596,A,1
Loc199,0.223088392,0.187596533,A,1
Loc200,0.535894999,0.570851089,A,1
Loc201,0.662529097,0.898161645,A,1
Loc202,0.848070533,0.188545941,A,1
Loc203,0.149183103,0.054237505,A,1
Loc204,0.670099399,0.209667592,A,1
Loc205,0.76163568,0.86912689,A,1
Loc206,0.998634453,0.540226126,A,1
Loc207,0.263297273,0.984553125,A,1
Loc208,0.885186032,0.928419838,A,1
Loc209,0.713342019,0.665764208,A,1
Loc210,0.670622027,0.457998605,A,1
Loc211,0.745689577,0.885159054,A,1
Loc212,0.413482745,0.036603725,A,1
Loc213,0.048653602,0.84889134,A,1
Loc214,0.764684812,0.706611684,A,1
Loc215,0.848064592,0.743403587,A,1
Loc216,0.532162738,0.623274679,A,1
Loc217,0.87033025,0.977894336,A,1
Loc218,0.12370517,0.693796329,A,1
Loc219,0.100245385,0.863160582,A,1
Loc220,0.686977828,0.1932885,A,1
Loc221,0.870523286,0.766206065,A,1
Loc222,0.770652193,0.996617361,A,1
Loc223,0.321275685,0.080808013,A,1
Loc224,0.229404358,0.187778729,A,1
Loc225,0.376092256,0.09890864,A,1
Loc226,0.803793199,0.698711418,A,1
Loc227,0.822333148,0.166418462,A,1
Loc228,0.388310988,0.109024159,A,1
Loc229,0.530745792,0.041221326,A,1
Loc230,0.455840947,0.789316619,A,1
Loc231,0.850812306,0.797210099,A,1
Loc232,0.217520719,0.879441,A,1
Loc233,0.770921862,0.223940304,A,1
Loc234,0.275639364,0.790037822,A,1
Loc235,0.895359479,0.984422095,A,1
Loc236,0.52363912,0.042393012,A,1
Loc237,0.829177239,0.3360532,A,1
Loc238,0.735439818,0.442041019,A,1
Loc239,0.315128335,0.497746013,A,3
Loc240,0.548315675,0.035648652,A,1
Loc241,0.580386281,0.655554946,A,1
Loc242,0.054041518,0.406714054,A,1
Loc243,0.4873398,0.357302757,A,3
Loc244,0.709400708,0.118415777,A,1
Loc245,0.115930189,0.333909273,A,1
Loc246,0.895791756,0.471162778,A,1
Loc247,0.733581526,0.596654524,A,1
Loc248,0.73400229,0.551235504,A,1
Loc249,0.180147139,0.986783017,A,1
Loc250,0.875112699,0.975748222,A,1
Loc251,0.598226016,0.623341939,A,1
Loc252,0.217712458,0.471480626,A,3
Loc253,0.14397652,0.286450202,A,1
Loc254,0.816860782,0.746195281,A,1
Loc255,0.357935637,0.068679755,A,1
Loc256,0.440736256,0.491225544,A,3
Loc257,0.113717057,0.661038335,A,1
Loc258,0.831672048,0.375819898,A,1
Loc259,0.923528457,0.298727569,A,1
Loc260,0.297196871,0.500884383,A,3
Loc261,0.736775481,0.362992764,A,1
Loc262,0.414002027,0.697829736,A,5
Loc263,0.022922611,0.76749494,A,1
Loc264,0.390414786,0.853763524,A,1
Loc265,0.247672538,0.288892113,A,3
Loc266,0.466850576,0.968609868,A,1
Loc267,0.322738197,0.073562654,A,1
Loc268,0.878178442,0.283470321,A,1
Loc269,0.162786687,0.146400593,A,1
Loc270,0.99537307,0.132155369,A,1
Loc271,0.689817007,0.247354411,A,1
Loc272,0.227645423,0.172719345,A,1
Loc273,0.766024671,0.269957624,A,1
Loc274,0.99093581,0.013073025,A,1
Loc275,0.747709332,0.970673138,A,1
Loc276,0.729463791,0.926739111,A,1
Loc277,0.830157151,0.442193378,A,1
Loc278,0.02598054,0.025226722,A,1
Loc279,0.046934535,0.261273665,A,1
Loc280,0.995615484,0.155160499,A,1
Loc281,0.114065865,0.340471727,A,1
Loc282,0.928903844,0.51568848,A,1
Loc283,0.024808418,0.634122479,A,1
Loc284,0.971509146,0.790110164,A,1
Loc285,0.929320941,0.128555324,A,1
Loc286,0.555484856,0.299820401,A,1
Loc287,0.645229396,0.52633907,A,1
Loc288,0.876456046,0.513562848,A,1
Loc289,0.856760897,0.515156062,A,1
Loc290,0.968180189,0.701760655,A,1
Loc291,0.702169279,0.821491682,A,1
Loc292,0.993792321,0.943026604,A,1
Loc293,0.540615096,0.983618091,A,1
Loc294,0.448706202,0.461239024,A,3
Loc295,0.909516321,0.274310795,A,1
Loc296,0.094229237,0.188615575,A,1
Loc297,0.534757553,0.893332351,A,1
Loc298,0.161837438,0.821365678,A,1
Loc299,0.34786011,0.468334556,A,3
Loc300,0.007992606,0.509380016,A,1
Loc301,0.401344915,0.881347855,A,1
Loc302,0.588350693,0.181505094,A,1
Loc303,0.875976234,0.985597462,A,1
Loc304,0.708542599,0.66397628,A,1
Loc305,0.19359426,0.657692968,A,5
Loc306,0.381765494,0.307070185,A,3
Loc307,0.193059137,0.230148136,A,1
Loc308,0.81697737,0.031048517,A,1
Loc309,0.010142967,0.025203922,A,1
Loc310,0.363609036,0.372042812,A,3
Loc311,0.728681494,0.025585336,A,1
Loc312,0.398965224,0.677386655,A,5
Loc313,0.874929312,0.173352993,A,1
Loc314,0.135716364,0.36273395,A,1
Loc315,0.115147814,0.884499976,A,1
Loc316,0.196729092,0.763239111,A,1
Loc317,0.057053349,0.266235194,A,1
Loc318,0.587422258,0.417301033,A,1
Loc319,0.743175432,0.447148228,A,1
Loc320,0.583126856,0.89911063,A,1
Loc321,0.29136257,0.493130185,A,3
Loc322,0.997801941,0.117339626,A,1
Loc323,0.698835609,0.322891172,A,1
Loc324,0.258798507,0.043288423,A,1
Loc325,0.242150089,0.929615964,A,1
Loc326,0.380862789,0.025221514,A,1
Loc327,0.330363618,0.98497079,A,1
Loc328,0.964242247,0.093809772,A,1
Loc329,0.249101692,0.001343566,A,1
Loc330,0.580648473,0.684716536,A,1
Loc331,0.831256196,0.038198476,A,1
Loc332,0.204067441,0.55639334,A,5
Loc333,0.071028569,0.35761571,A,1
Loc334,0.751070201,0.403115226,A,1
Loc335,0.572900657,0.645996385,A,1
Loc336,0.741908232,0.157688719,A,1
Loc337,0.075622579,0.108586936,A,1
Loc338,0.923359973,0.560222995,A,1
Loc339,0.127685571,0.682568529,A,1
Loc340,0.766168663,0.282359838,A,1
Loc341,0.339200782,0.89122284,A,1
Loc342,0.118930512,0.170626095,A,1
Loc343,0.557223823,0.276547525,A,1
Loc344,0.137367409,0.727723331,A,1
Loc345,0.855887678,0.774053375,A,1
