"","x","y","group","foldchange"
"Loc1",0.0305214286781847,0.318626663181931,"A",1
"Loc2",0.0781869003549218,0.425819370197132,"A",1
"Loc3",0.688783766468987,0.123934573493898,"A",1
"Loc4",0.738470100332052,0.413272120524198,"B",3
"Loc5",0.0287203218322247,0.83511590026319,"A",1
"Loc6",0.209481369238347,0.237843391951174,"A",1
"Loc7",0.707811346044764,0.335382680408657,"A",1
"Loc8",0.0770929616410285,0.5120622839313,"A",1
"Loc9",0.141904275398701,0.279871658189222,"A",1
"Loc10",0.022930731298402,0.638846147805452,"A",1
"Loc11",0.656277739675716,0.284334892174229,"A",1
"Loc12",0.800603301031515,0.142120047006756,"A",1
"Loc13",0.55266527691856,0.0298128167632967,"A",1
"Loc14",0.486838794546202,0.923132432391867,"A",1
"Loc15",0.0491298479028046,0.56947041512467,"A",1
"Loc16",0.942899304674938,0.449798631016165,"B",3
"Loc17",0.664140640757978,0.540532052051276,"B",3
"Loc18",0.583691781153902,0.477236253209412,"B",3
"Loc19",0.648971365299076,0.363954351982102,"B",3
"Loc20",0.541084333090112,0.394263380207121,"A",1
"Loc21",0.442802398465574,0.764439922757447,"A",1
"Loc22",0.485327136935666,0.913339505670592,"A",1
"Loc23",0.633414726238698,0.526406643679366,"B",3
"Loc24",0.614063646178693,0.890961474506184,"C",5
"Loc25",0.570963079342619,0.750262144720182,"B",3
"Loc26",0.420741207432002,0.0935902735218406,"A",1
"Loc27",0.404361866647378,0.622049080440775,"A",1
"Loc28",0.688384758075699,0.296540441457182,"A",1
"Loc29",0.586097484687343,0.637217883486301,"B",3
"Loc30",0.897128234151751,0.560407836921513,"B",3
"Loc31",0.349533853819594,0.790037128841504,"A",1
"Loc32",0.815941805252805,0.262808611383662,"A",1
"Loc33",0.81936948816292,0.37462220643647,"B",3
"Loc34",0.0587973261717707,0.773887129500508,"A",1
"Loc35",0.830095894401893,0.611461620545015,"B",3
"Loc36",0.456273949006572,0.058676314773038,"A",1
"Loc37",0.883230622857809,0.262824200093746,"A",1
"Loc38",0.604405564954504,0.887113224714994,"C",5
"Loc39",0.840246461099014,0.248993469169363,"A",1
"Loc40",0.150327311595902,0.858881226275116,"A",1
"Loc41",0.216053989017382,0.653949327766895,"A",1
"Loc42",0.835757910972461,0.983267438365147,"B",3
"Loc43",0.190327515592799,0.642338767880574,"A",1
"Loc44",0.768134753452614,0.68929767026566,"B",3
"Loc45",0.727831776253879,0.477780380519107,"B",3
"Loc46",0.330916808685288,0.408488637767732,"A",1
"Loc47",0.231453329091892,0.853482053149492,"A",1
"Loc48",0.302082120673731,0.927165577420965,"A",1
"Loc49",0.966588614042848,0.0575237118173391,"A",1
"Loc50",0.878233285155147,0.738602035678923,"B",3
"Loc51",0.778643860248849,0.915090818423778,"B",3
"Loc52",0.903712716186419,0.292272651568055,"A",1
"Loc53",0.0899105074349791,0.735026563284919,"A",1
"Loc54",0.44986932631582,0.722547797719017,"A",1
"Loc55",0.685987979406491,0.640872475458309,"B",3
"Loc56",0.569550130981952,0.734990627272055,"B",3
"Loc57",0.551034613279626,0.331953246844932,"A",1
"Loc58",0.952836046693847,0.0337719249073416,"A",1
"Loc59",0.0844964706338942,0.635295412968844,"A",1
"Loc60",0.235834155231714,0.362223281292245,"A",1
"Loc61",0.662113472120836,0.888715795008466,"C",5
"Loc62",0.685373691143468,0.0402300071436912,"A",1
"Loc63",0.715206112712622,0.634859687415883,"B",3
"Loc64",0.736888831714168,0.717107185861096,"B",3
"Loc65",0.450107149546966,0.199474512832239,"A",1
"Loc66",0.24201651266776,0.0911969270091504,"A",1
"Loc67",0.838776968186721,0.581192870857194,"B",3
"Loc68",0.242504486115649,0.953578607877716,"A",1
"Loc69",0.746588474139571,0.186635779216886,"A",1
"Loc70",0.0990403292234987,0.251510683447123,"A",1
"Loc71",0.0627161033917218,0.581911488668993,"A",1
"Loc72",0.149734637700021,0.900231558829546,"A",1
"Loc73",0.941565524786711,0.200038317823783,"A",1
"Loc74",0.080776282120496,0.463743691099808,"A",1
"Loc75",0.836617598310113,0.951772225787863,"B",3
"Loc76",0.938265815144405,0.31922220159322,"A",1
"Loc77",0.804535333300009,0.510043544694781,"B",3
"Loc78",0.431018393719569,0.781887021381408,"A",1
"Loc79",0.375208490528166,0.273822747869417,"A",1
"Loc80",0.65772019373253,0.0602187891490757,"A",1
"Loc81",0.500193999381736,0.883996873861179,"A",1
"Loc82",0.448069165693596,0.695716179907322,"A",1
"Loc83",0.480172954266891,0.859651600010693,"A",1
"Loc84",0.0774523306172341,0.820380922872573,"A",1
"Loc85",0.163775583263487,0.642642986960709,"A",1
"Loc86",0.655004424974322,0.965803574305028,"C",5
"Loc87",0.00124409818090498,0.640851204982027,"A",1
"Loc88",0.555863064015284,0.830080325482413,"C",5
"Loc89",0.933602953329682,0.664226211141795,"B",3
"Loc90",0.345580266322941,0.990005888976157,"A",1
"Loc91",0.680231184465811,0.210297986632213,"A",1
"Loc92",0.401415017200634,0.0612057338003069,"A",1
"Loc93",0.887886711861938,0.315913923317567,"A",1
"Loc94",0.306760797975585,0.873391397064552,"A",1
"Loc95",0.597652690019459,0.237584145274013,"A",1
"Loc96",0.219579088268802,0.653618450043723,"A",1
"Loc97",0.423320099478588,0.110710093518719,"A",1
"Loc98",0.899263262981549,0.814563331194222,"B",3
"Loc99",0.70987171609886,0.781578881200403,"B",3
"Loc100",0.346959915943444,0.366836671950296,"A",1
"Loc101",0.542276472784579,0.892916951095685,"C",5
"Loc102",0.731806748779491,0.343823007773608,"A",1
"Loc103",0.534446754027158,0.358579872641712,"A",1
"Loc104",0.380382620729506,0.501213083043694,"A",1
"Loc105",0.107555088121444,0.642110693268478,"A",1
"Loc106",0.276017254218459,0.85828797169961,"A",1
"Loc107",0.382917448412627,0.758295039413497,"A",1
"Loc108",0.819681858643889,0.457313520135358,"B",3
"Loc109",0.0064436353277415,0.917029877193272,"A",1
"Loc110",0.549509369768202,0.932757056783885,"C",5
"Loc111",0.318370552267879,0.833563451189548,"A",1
"Loc112",0.186685318360105,0.436557486653328,"A",1
"Loc113",0.216256882064044,0.244954003486782,"A",1
"Loc114",0.34653339907527,0.300707162823528,"A",1
"Loc115",0.17697098152712,0.382137573789805,"A",1
"Loc116",0.706243783002719,0.776354167377576,"B",3
"Loc117",0.935136831831187,0.14339738083072,"A",1
